symbol	CHROM	start_grch37	end_grch37	label	unit	type	min	max	missing	description	long_description	AptName	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	Organism	Units	Type	Dilution	ColCheck	cv_qc	cv_qc_chris	Dratio	eLOD	EntrezGeneSymbol
4225	NOVA1	14	26912299	27066960	x0so0902	NA	float	60.2	233993.1	-89	seq.12557.18	RNA-binding protein Nova-1	seq.12557.18	12557-18	3	SL019782	RNA-binding protein Nova-1	NOVA1	P51513	4857	Human	RFU	Protein	20	FLAG	0.0816020649457735	0.0844558722009648	0.144876166205654	173.193	NA
4226	NPDC1	9	139933922	139940655	x0so0114	NA	float	19.8	19442	-89	seq.10424.31	Neural proliferation differentiation and control protein 1	seq.10424.31	10424-31	3	SL015264	Neural proliferation differentiation and control protein 1	NPDC1	Q9NQX5	56654	Human	RFU	Protein	20	PASS	0.0466333870679128	0.04680914093062	0.241529963943062	71.1585	NA
4227	NPEPL1	20	57264187	57294294	x0so4113	NA	float	87.8	71764.7	-89	seq.23639.93	Probable aminopeptidase NPEPL1	seq.23639.93	23639-93	3	SL023409	Probable aminopeptidase NPEPL1	PEPL1	Q8NDH3	79716	Human	RFU	Protein	20	PASS	0.0311080927138267	0.0333224411031736	0.126690580127706	186.8822	NA
4228	NPFF	12	53900474	53901422	x0so5793	NA	float	137.8	29324.6	-89	seq.5617.41	Pro-FMRFamide-related neuropeptide FF	seq.5617.41	5617-41	3	SL012362	Pro-FMRFamide-related neuropeptide FF	NPFF	O15130	8620	Human	RFU	Protein	0.5	PASS	0.049149825248234	0.0369878480153361	0.108356937786974	278.73965	NA
4229	NPIPB3	16	21413558	21459888	x0so7604	NA	float	304.2	52674.9	-89	seq.9954.2	Nuclear pore complex-interacting protein family member B3	seq.9954.2	9954-2	3	SL019214	Nuclear pore complex-interacting protein family member B3	NPPL3	Q92617	23117	Human	RFU	Protein	20	FLAG	0.102029763846282	0.14502180317477	0.575578768820451	838.78345	NA
4230	NPL	1	182758428	182799519	x0so2761	NA	float	313.7	39612.4	-89	seq.19496.1	N-acetylneuraminate lyase	seq.19496.1	19496-1	3	SL008297	N-acetylneuraminate lyase	NPL	Q9BXD5	80896	Human	RFU	Protein	20	FLAG	0.0808966134513299	0.0698017457262861	0.329496857224118	861.81385	NA
4231	NPLOC4	17	79523913	79615495	x0so1167	NA	float	57.3	43159.9	-89	seq.12993.21	Nuclear protein localization protein 4 homolog	seq.12993.21	12993-21	3	SL016487	Nuclear protein localization protein 4 homolog	NPL4	Q8TAT6	55666	Human	RFU	Protein	20	PASS	0.04698820970735	0.05574583904962	0.088548149924986	183.3821	NA
4232	NPM1	5	170814120	170838141	x0so3194	NA	float	257.1	83643.9	-89	seq.21244.57	Nucleophosmin	seq.21244.57	21244-57	3	SL001735	Nucleophosmin	NPM1	P06748	4869	Human	RFU	Protein	20	PASS	0.0402301121513875	0.0339153839592101	0.130683785322372	588.51265	NA
4233	NPM1	5	170814120	170838141	x0so7031	NA	float	252	12770	-89	seq.8870.38	Nucleophosmin	seq.8870.38	8870-38	3	SL001735	Nucleophosmin	NPM1	P06748	4869	Human	RFU	Protein	20	PASS	0.0577044651020129	0.0615687206396912	0.448107692223638	667.9004	NA
4234	NPM2	8	21881636	21894408	x0so3137	NA	float	77.2	34824	-89	seq.21138.2	Nucleoplasmin-2	seq.21138.2	21138-2	3	SL022143	Nucleoplasmin-2	NPM2	Q86SE8	10361	Human	RFU	Protein	20	PASS	0.0277691168633311	0.0345822243019427	0.133882687922526	161.40725	NA
4235	NPNT	4	106815932	106925184	x0so6045	NA	float	78.6	42080.5	-89	seq.6342.10	Nephronectin	seq.6342.10	6342-10	3	SL006194	Nephronectin	Nephronectin	Q6UXI9	255743	Human	RFU	Protein	0.5	PASS	0.0518000604475097	0.0530783342954273	0.238374418687083	144.99865	NA
4236	NPPA	1	11905766	11908402	x0so5735	NA	float	319.8	24077	-89	seq.5443.62	Atrial natriuretic factor	seq.5443.62	5443-62	2	SL002505	Atrial natriuretic factor	ANP	P01160	4878	Human	RFU	Protein	20	PASS	0.0760772716022142	0.0850944633451563	0.419777274372457	759.49495	NA
4237	NPPB	1	11917521	11918988	x0so2019	NA	float	93.1	16026.7	-89	seq.16751.15	Natriuretic peptides B	seq.16751.15	16751-15	3	SL002689	Natriuretic peptides B	BNP	P16860	4879	Human	RFU	Protein	20	PASS	0.0252738758786945	0.0314184103467813	0.105798253592119	186.52025	NA
4238	NPPB	1	11917521	11918988	x0so5202	NA	float	159.3	32041.6	-89	seq.3723.1	Brain natriuretic peptide 32	seq.3723.1	3723-1	2	SL000306	Brain natriuretic peptide 32	BNP-32	P16860	4879	Human	RFU	Protein	20	PASS	0.0641946229372234	0.0594181163456164	0.255694985655273	331.07215	NA
4239	NPPB	1	11917521	11918988	x0so6460	NA	float	133.2	29736.8	-89	seq.7655.11	N-terminal pro-BNP	seq.7655.11	7655-11	3	SL002785	N-terminal pro-BNP	N-terminal pro-BNP	P16860	4879	Human	RFU	Protein	20	PASS	0.0447365878843147	0.0430552391549728	0.0693607411069181	368.62835	NA
4240	NPPC	2	232786530	232791113	x0so2945	NA	float	169.9	4001.6	-89	seq.20430.8	C-type natriuretic peptide	seq.20430.8	20430-8	3	SL000529	C-type natriuretic peptide	Natriuretic Peptide C-Type	P23582	4880	Human	RFU	Protein	20	PASS	0.0381796151085371	0.0334678205779149	0.24940199745429	345.86555	NA
4241	NPS	10	129347613	129350935	x0so6081	NA	float	35.1	39262.8	-89	seq.6390.18	Neuropeptide S	seq.6390.18	6390-18	3	SL012413	Neuropeptide S	NPS	P0C0P6	594857	Human	RFU	Protein	0.005	PASS	0.0689865815231804	0.0550637637903809	0.37099590613145	788.20885	NA
4242	NPTN	15	73852355	73926475	x0so6406	NA	float	69.9	27276.9	-89	seq.7194.36	Neuroplastin	seq.7194.36	7194-36	3	SL008497	Neuroplastin	NPTN	Q9Y639	27020	Human	RFU	Protein	20	PASS	0.0485895066795886	0.0571723550304982	0.262620468022423	155.2605	NA
4243	NPTX1	17	78440948	78451643	x0so7267	NA	float	32	19636.9	-89	seq.9256.78	Neuronal pentraxin-1	seq.9256.78	9256-78	3	SL012506	Neuronal pentraxin-1	NPTX1	Q15818	4884	Human	RFU	Protein	0.5	PASS	0.0429061488322171	0.047199752916353	0.164132457742546	80.302	NA
4244	NPTX2	7	98246609	98259180	x0so6163	NA	float	27.7	20015.8	-89	seq.6521.35	Neuronal pentraxin-2	seq.6521.35	6521-35	3	SL009928	Neuronal pentraxin-2	NPTX2	P47972	4885	Human	RFU	Protein	0.5	PASS	0.0588088791238426	0.0699317334066828	0.312691365918192	121.33335	NA
4245	NPTXR	22	39214457	39239987	x0so1863	NA	float	34	30628.6	-89	seq.15511.37	Neuronal pentraxin receptor	seq.15511.37	15511-37	3	SL008970	Neuronal pentraxin receptor	NPTXR	O95502	23467	Human	RFU	Protein	20	PASS	0.0437495946665314	0.0494278875138419	0.146923933661082	64.9977	NA
4246	NPTXR	22	39214457	39239987	x0so7117	NA	float	72.4	27498.5	-89	seq.8997.4	Neuronal pentraxin receptor	seq.8997.4	8997-4	3	SL008970	Neuronal pentraxin receptor	NPTXR	O95502	23467	Human	RFU	Protein	20	FLAG	0.0522808923334739	0.055380829450827	0.196484984512519	153.59425	NA
4247	NPW	16	2059927	2070756	x0so7621	NA	float	49.4	93494.4	-89	seq.9986.14	Neuropeptide W	seq.9986.14	9986-14	3	SL005356	Neuropeptide W	Neuropeptide W	Q8N729	283869	Human	RFU	Protein	20	FLAG	0.0622316379714125	0.0680363203058282	0.0982499652852223	110.06605	NA
4248	NPY	7	24323782	24331484	x0so3034	NA	float	36.3	106267.8	-89	seq.20590.13	Neuropeptide Y	seq.20590.13	20590-13	3	SL004417	Neuropeptide Y	NPY	P01303	4852	Human	RFU	Protein	0.5	PASS	0.0571832252634375	0.0682680121409614	0.120532325320951	113.27685	NA
4249	NQO1	16	69740899	69760854	x0so7523	NA	float	83	122933	-89	seq.9837.60	NAD(P)H dehydrogenase [quinone] 1	seq.9837.60	9837-60	3	SL006249	NAD(P)H dehydrogenase [quinone] 1	NAD(P)H dehydrogenase	P15559	1728	Human	RFU	Protein	20	PASS	0.0496753082675468	0.0742517468077983	0.147236643938387	194.18755	NA
4250	NQO2	6	2988221	3019996	x0so7476	NA	float	160	109919.1	-89	seq.9754.33	Ribosyldihydronicotinamide dehydrogenase [quinone]	seq.9754.33	9754-33	3	SL006251	Ribosyldihydronicotinamide dehydrogenase [quinone]	Quinone reductase 2	P16083	4835	Human	RFU	Protein	20	PASS	0.0416562342468644	0.0387836841906785	0.0891928009676652	337.7449	NA
4251	NR0B2	1	27237980	27240457	x0so3749	NA	float	2.2	215017.7	-89	seq.22776.40	Nuclear receptor 0B2	seq.22776.40	22776-40	3	SL007442	Nuclear receptor 0B2	SHP	Q15466	8431	Human	RFU	Protein	20	FLAG	0.418555012536187	0.447153747035149	0.787587135410894	39.49005	NA
4252	NR1D1	17	38249040	38256978	x0so5673	NA	float	237.6	47677.4	-89	seq.5236.2	Nuclear receptor subfamily 1 group D member 1	seq.5236.2	5236-2	3	SL007145	Nuclear receptor subfamily 1 group D member 1	NR1D1	P20393	9572	Human	RFU	Protein	20	PASS	0.0579525059031657	0.0626287904941945	0.282874775052563	546.6053	NA
4253	NR1D2	3	23986751	24022109	x0so1126	NA	float	75.5	69071.1	-89	seq.12885.42	Nuclear receptor subfamily 1 group D member 2	seq.12885.42	12885-42	3	SL007432	Nuclear receptor subfamily 1 group D member 2	NR1D2	Q14995	9975	Human	RFU	Protein	20	PASS	0.0296856939447581	0.0357738086098352	0.136216990724215	157.9953	NA
4254	NR1H2	19	50832910	50886239	x0so7131	NA	float	196.6	22132.3	-89	seq.9016.12	Oxysterols receptor LXR-beta	seq.9016.12	9016-12	3	SL007287	Oxysterols receptor LXR-beta	NR1H2	P55055	7376	Human	RFU	Protein	0.5	PASS	0.0931366179465795	0.0816444299214081	0.250791712603736	475.56955	NA
4255	NR1H4	12	100867486	100958191	x0so7077	NA	float	168.5	6294.5	-89	seq.8946.38	Bile acid receptor	seq.8946.38	8946-38	3	SL007605	Bile acid receptor	NR1H4	Q96RI1	9971	Human	RFU	Protein	20	PASS	0.0645652909767707	0.0728764024669247	0.460337510038647	522.24745	NA
4256	NR2C2AP	19	19312225	19314233	x0so4086	NA	float	64.7	45084.7	-89	seq.23594.2	Nuclear receptor 2C2-associated protein	seq.23594.2	23594-2	3	SL023517	Nuclear receptor 2C2-associated protein	NR2CA	Q86WQ0	126382	Human	RFU	Protein	20	PASS	0.0402240710172218	0.0404844072692249	0.162235853549139	271.5123	NA
4257	NR3C1	5	142657496	142815077	x0so4822	NA	float	121.4	25829.9	-89	seq.2857.70	Glucocorticoid receptor	seq.2857.70	2857-70	2	SL006914	Glucocorticoid receptor	Glucocorticoid receptor	P04150	2908	Human	RFU	Protein	20	PASS	0.0460609600861661	0.0466415939842162	0.168540859904738	254.97225	NA
4258	NR3C2	4	148999913	149365850	x0so1143	NA	float	25.4	140401.9	-89	seq.12931.16	Mineralocorticoid receptor	seq.12931.16	12931-16	3	SL007088	Mineralocorticoid receptor	MCR	P08235	4306	Human	RFU	Protein	20	PASS	0.062720855718528	0.075905947367828	0.130080759619307	56.86835	NA
4259	NR4A1	12	52416616	52453291	x0so6723	NA	float	93.1	104952	-89	seq.8089.173	Nuclear receptor subfamily 4 group A member 1	seq.8089.173	8089-173	3	SL007158	Nuclear receptor subfamily 4 group A member 1	NR4A1	P22736	3164	Human	RFU	Protein	20	PASS	0.0250913635367809	0.0271881007809037	0.111344372548037	196.9887	NA
4260	NR5A2	1	199996730	200146552	x0so0822	NA	float	84.5	14461.2	-89	seq.12444.39	Nuclear receptor subfamily 5 group A member 2	seq.12444.39	12444-39	3	SL006967	Nuclear receptor subfamily 5 group A member 2	NR5A2	O00482	2494	Human	RFU	Protein	20	PASS	0.0449942465615487	0.0437490540288323	0.164597009267068	198.7169	NA
4261	NRAS	1	115247090	115259515	x0so0178	NA	float	103.2	140553.4	-89	seq.10531.18	GTPase NRas	seq.10531.18	10531-18	3	SL010845	GTPase NRas	RASN	P01111	4893	Human	RFU	Protein	20	PASS	0.046852184300044	0.0543101263004597	0.198596782392718	234.8907	NA
4262	NRBF2	10	64893050	64914783	x0so3247	NA	float	23.9	66057	-89	seq.21367.63	Nuclear receptor-binding factor 2	seq.21367.63	21367-63	3	SL022144	Nuclear receptor-binding factor 2	NRBF2	Q96F24	29982	Human	RFU	Protein	20	PASS	0.0405676791676492	0.032202488989234	0.0617355315262593	60.57485	NA
4263	NRBP1	2	27650657	27665126	x0so0934	NA	float	67.4	107923.3	-89	seq.12616.45	Nuclear receptor-binding protein	seq.12616.45	12616-45	3	SL019803	Nuclear receptor-binding protein	NRBP	Q9UHY1	29959	Human	RFU	Protein	20	PASS	0.0727638080099561	0.0772430761455521	0.263578477109493	184.7038	NA
4264	NRCAM	7	107788068	108097161	x0so5635	NA	float	50.7	9992.5	-89	seq.5109.24	Neuronal cell adhesion molecule	seq.5109.24	5109-24	3	SL005210	Neuronal cell adhesion molecule	Nr-CAM	Q92823	4897	Human	RFU	Protein	0.5	PASS	0.101413736116342	0.0651606178970461	0.298778815483559	105.75955	NA
4265	NREP	5	110998318	111333161	x0so3242	NA	float	29.2	21378.6	-89	seq.21359.17	Neuronal regeneration-related protein	seq.21359.17	21359-17	3	SL022145	Neuronal regeneration-related protein	NREP	Q16612	9315	Human	RFU	Protein	20	FLAG	0.137718544509735	0.0666922902337783	0.194193992478345	69.0281	NA
4266	NRG1	8	31496902	32622548	x0so1826	NA	float	97.4	55901.7	-89	seq.15446.25	Neuregulin-1, sensory and motor neuron-derived factor isoform	seq.15446.25	15446-25	3	SL004651	Neuregulin-1, sensory and motor neuron-derived factor isoform	SMDF	Q02297	3084	Human	RFU	Protein	20	PASS	0.0509479262759312	0.0534375361118748	0.209652403934965	264.10255	NA
4267	NRG1	8	31496902	32622548	x0so7218	NA	float	38.2	49759.6	-89	seq.9178.30	Neuregulin-1	seq.9178.30	9178-30	3	SL004297	Neuregulin-1	NEUREGULIN-1	Q02297	3084	Human	RFU	Protein	20	PASS	0.0365369060962802	0.0447473155902897	0.126217829411675	77.29875	NA
4268	NRG2	5	139226364	139422884	x0so6700	NA	float	25.1	9398.9	-89	seq.8060.7	Pro-neuregulin-2, membrane-bound isoform	seq.8060.7	8060-7	3	SL013710	Pro-neuregulin-2, membrane-bound isoform	NRG2	O14511	9542	Human	RFU	Protein	20	PASS	0.0407496627033044	0.0434750431347833	0.174876786993991	54.76835	NA
4269	NRG3	10	83635070	84746935	x0so0371	NA	float	80.2	200197.1	-89	seq.10981.56	Pro-neuregulin-3, membrane-bound isoform	seq.10981.56	10981-56	3	SL013799	Pro-neuregulin-3, membrane-bound isoform	NRG3	P56975	10718	Human	RFU	Protein	20	PASS	0.0358040374105462	0.0304647740240954	0.0690221610232326	173.2409	NA
4270	NRG3	10	83635070	84746935	x0so2982	NA	float	41.3	109637.7	-89	seq.20524.38	Pro-neuregulin-3, membrane-bound isoform	seq.20524.38	20524-38	3	SL013799	Pro-neuregulin-3, membrane-bound isoform	NRG3	P56975	10718	Human	RFU	Protein	20	PASS	0.0326765764107052	0.0374747723550131	0.0469280426057909	123.40075	NA
4271	NRG4	15	76228310	76352136	x0so1640	NA	float	104.1	10124.5	-89	seq.14139.16	Neuregulin-4	seq.14139.16	14139-16	3	SL007828	Neuregulin-4	NRG4	Q8WWG1	145957	Human	RFU	Protein	20	PASS	0.0276126528506944	0.0253784382107092	0.111748213774643	226.89185	NA
4272	NRGN	11	124609742	124617106	x0so2419	NA	float	187.2	182320	-89	seq.18303.39	Neurogranin	seq.18303.39	18303-39	3	SL020951	Neurogranin	NEUG	Q92686	4900	Human	RFU	Protein	20	FLAG	0.12052685970029	0.11885370382401	0.248655479473532	464.2946	NA
4273	NRIP3	11	9002123	9025596	x0so2382	NA	float	155.1	33846.3	-89	seq.18237.29	Nuclear receptor-interacting protein 3	seq.18237.29	18237-29	3	SL021014	Nuclear receptor-interacting protein 3	NRIP3	Q9NQ35	56675	Human	RFU	Protein	20	PASS	0.0499946794223343	0.0401297357217245	0.19232784337385	309.6515	NA
4274	NRL	14	24549316	24584223	x0so3693	NA	float	176.9	40132.5	-89	seq.22516.30	Neural retina-specific leucine zipper protein	seq.22516.30	22516-30	3	SL022773	Neural retina-specific leucine zipper protein	NRL	P54845	4901	Human	RFU	Protein	20	FLAG	0.0771868088884072	0.114252576625848	0.47705668729077	704.84245	NA
4275	NRN1L	16	67918708	67922758	x0so2884	NA	float	95.6	61947.7	-89	seq.20159.1	Neuritin-like protein	seq.20159.1	20159-1	3	SL017481	Neuritin-like protein	NRN1L	Q496H8	123904	Human	RFU	Protein	20	PASS	0.0706970001517058	0.091787262806403	0.315220603763855	248.4428	NA
4276	NRP1	10	33466420	33625190	x0so4984	NA	float	95	317865.7	-89	seq.3214.3	Neuropilin-1	seq.3214.3	3214-3	2	SL006397	Neuropilin-1	NRP1	O14786	8829	Human	RFU	Protein	0.5	PASS	0.0963508922882798	0.102239437659636	0.51228445458142	202.8039	NA
4277	NRP1	10	33466420	33625190	x0so5769	NA	float	57.1	40613.7	-89	seq.5542.22	Neuropilin-1	seq.5542.22	5542-22	2	SL006397	Neuropilin-1	NRP1	O14786	8829	Human	RFU	Protein	0.005	PASS	0.145531378827856	0.0878396841587543	0.404900861250273	759.41955	NA
4278	NRP2	2	206546714	206662857	x0so1792	NA	float	58.4	200835.5	-89	seq.15387.44	Neuropilin-2	seq.15387.44	15387-44	3	SL005203	Neuropilin-2	Neuropilin-2	O60462	8828	Human	RFU	Protein	0.5	PASS	0.0412414334948074	0.0424369782790943	0.256652325615742	128.6258	NA
4279	NRP2	2	206546714	206662857	x0so6205	NA	float	51.7	37342.4	-89	seq.6590.54	Neuropilin-2	seq.6590.54	6590-54	3	SL005203	Neuropilin-2	Neuropilin-2	O60462	8828	Human	RFU	Protein	20	PASS	0.0629647743092126	0.0622649818849829	0.288613518891074	140.1127	NA
4280	NRSN1	6	24126350	24155128	x0so0676	NA	float	78.4	48170.4	-89	seq.11654.77	Neurensin-1	seq.11654.77	11654-77	3	SL019578	Neurensin-1	NRSN1	Q8IZ57	140767	Human	RFU	Protein	20	PASS	0.0737880640685623	0.0683349923732034	0.229421793656051	189.493	NA
4281	NRXN1	2	50145643	51259674	x0so3732	NA	float	134.7	34234.9	-89	seq.22579.93	Neurexin-1-beta	seq.22579.93	22579-93	3	SL009054	Neurexin-1-beta	NRX1B	P58400	9378	Human	RFU	Protein	20	FLAG	0.0532089889116404	0.0591676844322521	0.241252658455482	289.6015	NA
4282	NRXN1	2	50145643	51259674	x0so5636	NA	float	80.1	5683.6	-89	seq.5110.84	Neurexin-1-beta	seq.5110.84	5110-84	3	SL009054	Neurexin-1-beta	NRX1B	P58400	9378	Human	RFU	Protein	20	PASS	0.0333873535538403	0.0365847946654433	0.172505400800934	154.18555	NA
4283	NRXN1	2	50145643	51259674	x0so7098	NA	float	42.7	11279.7	-89	seq.8971.9	Neurexin-1	seq.8971.9	8971-9	3	SL018798	Neurexin-1	NRX1A	Q9ULB1	9378	Human	RFU	Protein	0.5	PASS	0.0438590768207004	0.044028057593025	0.0990273907356281	130.4888	NA
4284	NRXN2	11	64373646	64490660	x0so7035	NA	float	104.1	25561.6	-89	seq.8876.51	Neurexin-2-beta	seq.8876.51	8876-51	3	SL018703	Neurexin-2-beta	NRX2B	P58401	9379	Human	RFU	Protein	20	PASS	0.0667731423901787	0.0892730138540813	0.367927332755185	261.33085	NA
4285	NRXN3	14	78708734	80330762	x0so1986	NA	float	146.9	54197.3	-89	seq.16323.8	Neurexin-3	seq.16323.8	16323-8	3	SL020462	Neurexin-3	NRX3A	Q9Y4C0	9369	Human	RFU	Protein	20	PASS	0.0365419422364938	0.0387619437058831	0.181151707120586	372.14575	NA
4286	NRXN3	14	78708734	80330762	x0so5637	NA	float	192.8	40051.2	-89	seq.5111.15	Neurexin-3-beta	seq.5111.15	5111-15	3	SL008728	Neurexin-3-beta	NRX3B	Q9HDB5	9369	Human	RFU	Protein	20	PASS	0.0421869734676068	0.0381574437131949	0.170814058815388	463.2706	NA
4287	NSDHL	X	151999511	152038273	x0so6684	NA	float	35.2	122918.8	-89	seq.8038.41	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	seq.8038.41	8038-41	3	SL014973	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating	NSDHL	Q15738	50814	Human	RFU	Protein	20	PASS	0.0480761109842745	0.0412272782518471	0.100469219524797	124.12905	NA
4288	NSF	17	44668035	44834830	x0so1532	NA	float	88.3	27257.8	-89	seq.13992.12	Vesicle-fusing ATPase	seq.13992.12	13992-12	3	SL007239	Vesicle-fusing ATPase	NSF	P46459	4905	Human	RFU	Protein	0.5	PASS	0.0378633319380453	0.0361086119747087	0.145431631608262	184.42895	NA
4289	NSFL1C	20	1422807	1454487	x0so5342	NA	float	54.2	6910.8	-89	seq.4250.23	NSFL1 cofactor p47	seq.4250.23	4250-23	3	SL006268	NSFL1 cofactor p47	NSF1C	Q9UNZ2	55968	Human	RFU	Protein	20	PASS	0.0501497907198683	0.0595454779005833	0.209026884310956	123.82905	NA
4290	NSL1	1	212899495	212965124	x0so3695	NA	float	166.1	16534.1	-89	seq.22518.54	Kinetochore-associated protein NSL1 homolog	seq.22518.54	22518-54	3	SL022826	Kinetochore-associated protein NSL1 homolog	NSL1	Q96IY1	25936	Human	RFU	Protein	20	FLAG	0.206589280198996	0.282976966585097	0.751783340250087	723.3975	NA
4291	NSMCE1	16	27236312	27280115	x0so2963	NA	float	73.1	120391	-89	seq.20453.9	Non-structural maintenance of chromosomes element 1 homolog	seq.20453.9	20453-9	3	SL022146	Non-structural maintenance of chromosomes element 1 homolog	NSE1	Q8WV22	197370	Human	RFU	Protein	20	PASS	0.0355028365196794	0.0385089419802228	0.126613718009333	190.1452	NA
4292	NSMCE2	8	126103921	126379362	x0so3694	NA	float	88.9	78018.3	-89	seq.22517.106	E3 SUMO-protein ligase NSE2	seq.22517.106	22517-106	3	SL019471	E3 SUMO-protein ligase NSE2	NSE2	Q96MF7	286053	Human	RFU	Protein	20	FLAG	0.0962446895022373	0.151981207144372	0.619568994949891	264.2101	NA
4293	NSUN6	10	18834490	18940551	x0so4607	NA	float	78.7	62729	-89	seq.25433.25	Putative methyltransferase NSUN6	seq.25433.25	25433-25	3	SL023200	Putative methyltransferase NSUN6	NSUN6	Q8TEA1	221078	Human	RFU	Protein	20	FLAG	0.0538353150013959	0.0565288003452437	0.104484362746288	180.39195	NA
4294	NT5C	17	73126320	73127890	x0so0904	NA	float	58.8	25691.1	-89	seq.12560.9	5'(3')-deoxyribonucleotidase, cytosolic type	seq.12560.9	12560-9	3	SL008415	5'(3')-deoxyribonucleotidase, cytosolic type	NT5C	Q8TCD5	30833	Human	RFU	Protein	20	PASS	0.0424764715410906	0.0490337539774666	0.183398549649674	119.7541	NA
4295	NT5C1A	1	40124793	40137710	x0so3976	NA	float	26	24155.2	-89	seq.23362.26	Cytosolic 5'-nucleotidase 1A	seq.23362.26	23362-26	3	SL023141	Cytosolic 5'-nucleotidase 1A	5NT1A	Q9BXI3	84618	Human	RFU	Protein	20	FLAG	0.328516062386048	0.36443716184451	0.915997516864381	309.45855	NA
4296	NT5C2	10	104845940	104953056	x0so0503	NA	float	154.3	71803.2	-89	seq.11288.26	Cytosolic purine 5'-nucleotidase	seq.11288.26	11288-26	3	SL019349	Cytosolic purine 5'-nucleotidase	5NTC	P49902	22978	Human	RFU	Protein	20	PASS	0.0352271575894374	0.0361582786517701	0.0945261495937665	362.14585	NA
4297	NT5C3A	7	33053742	33102409	x0so2800	NA	float	27.4	73215.5	-89	seq.19615.213	Cytosolic 5'-nucleotidase 3A	seq.19615.213	19615-213	3	SL013508	Cytosolic 5'-nucleotidase 3A	5NT3	Q9H0P0	51251	Human	RFU	Protein	20	FLAG	0.0991793311237956	0.112180324359778	0.372513460655989	93.18125	NA
4298	NT5C3B	17	39981335	39992523	x0so2601	NA	float	94.8	191209.5	-89	seq.19135.5	7-methylguanosine phosphate-specific 5'-nucleotidase	seq.19135.5	19135-5	3	SL009395	7-methylguanosine phosphate-specific 5'-nucleotidase	Cytosolic 5'-nucleotidase III-like protein	Q969T7	115024	Human	RFU	Protein	20	PASS	0.0370291054285409	0.031612253780791	0.0768653480894551	196.3691	NA
4299	NT5DC1	6	116422012	116570660	x0so4610	NA	float	117	76507.1	-89	seq.25438.288	5'-nucleotidase domain-containing protein 1	seq.25438.288	25438-288	3	SL013141	5'-nucleotidase domain-containing protein 1	NT5D1	Q5TFE4	221294	Human	RFU	Protein	20	PASS	0.0379572453424039	0.0453267874065374	0.163193112433094	291.20685	NA
4300	NT5DC3	12	104164231	104234975	x0so7206	NA	float	31.8	230700.6	-89	seq.9126.171	5'-nucleotidase domain-containing protein 3	seq.9126.171	9126-171	3	SL018814	5'-nucleotidase domain-containing protein 3	NT5D3	Q86UY8	51559	Human	RFU	Protein	20	PASS	0.0424142693961104	0.0439645366783594	0.0844116309703739	82.12915	NA
4301	NT5E	6	86159809	86205500	x0so1830	NA	float	112.3	169797.4	-89	seq.15452.5	5'-Nucleotidase	seq.15452.5	15452-5	3	SL000246	5'-Nucleotidase	5'-Nucleotidase	P21589	4907	Human	RFU	Protein	20	PASS	0.0637239725383371	0.0625103405992196	0.272169189997413	223.2604	NA
4302	NT5E	6	86159809	86205500	x0so6291	NA	float	84.7	12596.4	-89	seq.6993.8	5'-Nucleotidase	seq.6993.8	6993-8	3	SL000246	5'-Nucleotidase	5'-Nucleotidase	P21589	4907	Human	RFU	Protein	20	PASS	0.0336294443897674	0.0380137954382815	0.145762153388069	188.61585	NA
4303	NT5M	17	17206649	17250977	x0so2320	NA	float	89.1	14529.5	-89	seq.17856.23	5'(3')-deoxyribonucleotidase, mitochondrial	seq.17856.23	17856-23	3	SL020966	5'(3')-deoxyribonucleotidase, mitochondrial	NT5M	Q9NPB1	56953	Human	RFU	Protein	20	PASS	0.0381810527237801	0.0500851806310311	0.0978357987590999	191.65935	NA
4304	NTAN1	16	15131710	15149921	x0so4034	NA	float	98.7	199353.4	-89	seq.23524.2	Protein N-terminal asparagine amidohydrolase	seq.23524.2	23524-2	3	SL023430	Protein N-terminal asparagine amidohydrolase	NTAN1	Q96AB6	123803	Human	RFU	Protein	20	PASS	0.0669296663910952	0.0784102717296589	0.265091488835639	251.40695	NA
4305	NTF3	12	5541278	5630702	x0so5304	NA	float	60.8	7445.4	-89	seq.4145.58	Neurotrophin-3	seq.4145.58	4145-58	2	SL004359	Neurotrophin-3	Neurotrophin-3	P20783	4908	Human	RFU	Protein	20	PASS	0.0404846763738088	0.0494248440542589	0.225779958936655	125.89865	NA
4306	NTF4	19	49559050	49568333	x0so5305	NA	float	151.8	26686.5	-89	seq.4146.58	Neurotrophin-4	seq.4146.58	4146-58	2	SL004360	Neurotrophin-4	Neurotrophin-5	P34130	4909	Human	RFU	Protein	20	FLAG	0.0711075343168156	0.0559781598896822	0.248110970500907	333.9558	NA
4307	NTM	11	131240373	132206716	x0so0339	NA	float	133.2	32858.7	-89	seq.10907.116	Neurotrimin	seq.10907.116	10907-116	3	SL009074	Neurotrimin	NTRI	Q9P121	50863	Human	RFU	Protein	20	PASS	0.0562035376472512	0.0589277312077019	0.271679580271276	286.4146	NA
